rows/Col	Col1	Col2	Col3	Col4	Col5	Col6
0	0.03110403	0.03027236	0.03114182	0.03105438	0.03096598	0.03098035
1	0.03117943	0.03012848	0.03106433	0.03096497	0.03105551	0.03110445
2	0.03129452	0.03022957	0.03112537	0.03097415	0.03092813	0.03101844
3	0.03109175	0.03118414	0.03109831	0.03106898	0.03111637	0.03107464
4	0.03123450	0.03020936	0.03115684	0.03100324	0.03104258	0.03113079
5	0.03151977	0.02997279	0.03092420	0.03111392	0.03106940	0.03103292
6	0.03118074	0.03001308	0.03109711	0.03105491	0.03097099	0.03105009
7	0.03118718	0.03002942	0.03110027	0.03092217	0.03111529	0.03119457
8	0.03140330	0.03004384	0.03100783	0.03104722	0.03242493	0.03101355
9	0.03142720	0.02994722	0.03093350	0.03235930	0.03110796	0.03125232
10	0.03157103	0.02994698	0.03110403	0.03100258	0.03078049	0.03100508
11	0.03137320	0.02969801	0.03097939	0.03199446	0.03102887	0.03225046
12	0.03028506	0.02977777	0.03105903	0.03092200	0.03112441	0.03110176
13	0.03091210	0.02808052	0.03155649	0.03247190	0.03225493	0.03231406
14	0.03129715	0.02939415	0.03140324	0.03103232	0.03099298	0.03094506
15	0.03145677	0.06234771	0.03105694	0.03103685	0.03103954	0.03099519
16	0.03115135	0.03092730	0.03141010	0.03138459	0.03123271	0.03140229
17	0.03114319	0.03083068	0.03146631	0.03134722	0.03123671	0.03144395
18	0.03106058	0.03087372	0.03136551	0.03141135	0.03133017	0.03132635
19	0.03138530	0.03074616	0.03159183	0.03133225	0.03206962	0.03117412
20	0.03142649	0.03072715	0.03146023	0.03127372	0.03147990	0.03153592
21	0.03132099	0.03086829	0.03122771	0.03139251	0.03153974	0.03157556
22	0.03100777	0.03066927	0.03144777	0.03143489	0.03150547	0.03130680
23	0.03135335	0.03052157	0.03143668	0.03129506	0.03157943	0.03139687
24	0.03140974	0.03066117	0.03116417	0.03094113	0.03100091	0.03115624
25	0.03116167	0.03051829	0.03112507	0.03106463	0.03101450	0.03106970
26	0.03137803	0.03057712	0.03133643	0.03119290	0.03103358	0.03120255
27	0.03130245	0.03033096	0.03135341	0.03113830	0.03112829	0.03102314
28	0.03116107	0.03047132	0.03109747	0.03111959	0.03120512	0.03132689
29	0.03139263	0.03036553	0.03118527	0.03108484	0.03123522	0.03122592
30	0.03149158	0.02933878	0.03227061	0.03128165	0.03120536	0.03112817
31	0.03133607	0.03029728	0.03125274	0.03128201	0.03118491	0.03124177
