Row/Col	1	2	3	4	5	6
0	0.03029466	0.06235802	0.03147328	0.03232431	0.03232926	0.03218049
1	0.03086168	0.02936012	0.03109419	0.03102595	0.03101057	0.03091097
2	0.03132224	0.02808940	0.03097916	0.03197289	0.03075010	0.03120548
3	0.03140789	0.02991158	0.03149742	0.03094977	0.03107035	0.03108442
4	0.03147864	0.02974683	0.03086370	0.03238279	0.03117001	0.03117561
5	0.03144503	0.02990127	0.03095835	0.03091240	0.03229976	0.03099704
6	0.03156507	0.02993608	0.03115803	0.03101456	0.03094649	0.03229553
7	0.03134894	0.03005558	0.03098875	0.03100526	0.03108519	0.03099912
8	0.03123188	0.02998763	0.03096324	0.03104591	0.03088677	0.03105444
9	0.03143436	0.03003258	0.03115857	0.03098941	0.03098583	0.03105462
10	0.03116733	0.03001052	0.03119069	0.03099990	0.03092325	0.03107762
11	0.03118014	0.03025293	0.03112745	0.03100777	0.03114361	0.03099889
12	0.03119034	0.03113216	0.03114986	0.03111911	0.03114355	0.03120816
13	0.03135026	0.03030860	0.03108966	0.03103220	0.03103858	0.03099209
14	0.03121948	0.03007096	0.03110415	0.03098637	0.03102106	0.03110635
15	0.03118247	0.03025496	0.03115547	0.03114444	0.03102881	0.03107226
16	0.03125131	0.03019035	0.03123260	0.03115314	0.03101093	0.03109092
17	0.03142428	0.02936053	0.03108090	0.03101498	0.03110760	0.03116310
18	0.03151983	0.03030109	0.03120828	0.03112757	0.03103089	0.03115380
19	0.03136009	0.03043306	0.03215504	0.03127021	0.03117573	0.03119981
20	0.03139389	0.03043079	0.03119659	0.03115469	0.03125334	0.03122336
21	0.03117806	0.03050613	0.03121972	0.03113812	0.03121966	0.03117865
22	0.03125346	0.03053355	0.03133357	0.03118199	0.03122479	0.03118122
23	0.03138334	0.03062606	0.03131336	0.03124690	0.03123176	0.03125542
24	0.03136992	0.03056544	0.03124607	0.03124517	0.03110927	0.03123456
25	0.03126115	0.03068799	0.03137779	0.03133023	0.03129429	0.03132337
26	0.03095633	0.03089088	0.03147316	0.03132659	0.03120065	0.03138673
27	0.03128517	0.03069592	0.03144675	0.03142542	0.03211182	0.03144789
28	0.03107220	0.03080022	0.03137350	0.03139347	0.03158385	0.03146631
29	0.03112769	0.03073370	0.03144413	0.03122133	0.03152359	0.03129464
30	0.03103638	0.03089207	0.03150666	0.03137147	0.03152692	0.03151435
31	0.03144652	0.03094298	0.03143990	0.03148568	0.03156173	0.03147280
